,,Ownership interest,,,Auditor
Corporate name Registered address,,2023,2022,Activity,
"Pan Química Farmacéutica, S.A.U","C/ Rufino González 50, Madrid (Spain)",100%,100%,(1),A
"Gineladius, S.L.U","C/ Rufino González 50, Madrid (Spain)",100%,100%,(2),N/A
"Rovi Pharma Industrial Services, S.A.U.","Avda. Complutense 140 , Alcalá de Henares (Spain)",100%,100%,(1),A
"Rovi Escúzar, S.L.U","C/ Julián Camarillo 35, Madrid (Spain)",100%,100%,(1),A
"Glicopepton Biotech, S.L.","C/ Julián Camarillo 35, Madrid (Spain)",51%,51%,(4),A
Rovi Biotech GmbH,"Bahnhofstrasse 10, Zug, (Switzerland)",100%,100%,(1),N/A
Bertex Pharma GmbH,"Rudolf-Diesel-Ring 6, Holzkirchen (Germany)",100%,100%,(3),N/A
Rovi Biotech Limited,"Davis House 4th Floor, Suite 425 Robert Street, Croydon, (United Kingdom)",100%,100%,(1),B
"Rovi Biotech, S.r.l","Viale Achille Papa 30, Milán (Italy)",100%,100%,(1),E
"Rovi, GmbH","Rudolf-Diesel-Ring 6, Holzkirchen (Germany)",100%,100%,(1),C
"Rovi, S.A.S.","Rue du Drac 24, Seyssins (France)",100%,100%,(1),D
Rovi Biotech sp.z.o.o.,"Ulica Domaniewska 44, Warsaw, Poland",100%,100%,(5),N/A
