,,Equity,,,,,,,
,,,Share,,,Other,Adjust-,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,ments for changes in,and,Total equity
,,capital,and reserves,stock,(loss) for the period,instru- ments,value,legacies received,
Opening balance at 01/01/2024,3010,3.241,180.339,(107.676),12.071,-,(20),1.367,89.322
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.241,180.339,(107.676),12.071,-,(20),1.367,89.322
I. Total recognized income/(expenses),3020,,,,48.693,,(4),(173),48.516
II. Transactions with shareholders or owners,3025,,2.061,(50.076),(59.617),,,,(107.632)
1. Capital increases/(reductions),3026,,,,,,,,
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(59.617),,,,(59.617)
4. Treasury stock transactions (net),3029,,2.061,(50.076),,,,,(48.015)
5.Increases/(reductions) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,,,,,,
III. Other equity transactions,3035,,(47.546),,47.546,,,,-
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,(47.546),,47.546,,,,
3. Other changes,3038,,-,,,,,,-
Closing balance at 30/06/2024,3040,3.241,134.854,(157.752),48.693,,(24),1.194,30.206
