,,CURRENT PERIOD,PREVIOUS PERIOD,ACCUMULA TED,ACCUMULAT ED PREVIOUS
,,(2nd HALF),(2nd HALF),PERIOD 31/12/2019,PERIOD 31/12/2018
(+) Net revenue,1205,203.777,156.894,381.313,303.203
(+/-) Change in inventories of finished products and work in progress,1206,534,331,21.414,9.050
(+) Work performed by the company on its assets,1207,,,,
(-) Supplies,1208,(91.082),(67.000),(188.020),(137.662)
(+) Other operating income,1209,-,,,
(-) Employee benefit expenses,1217,(35.759),(33.914),(72.512),(70.180)
(-) Other operating expenses,1210,(43.314),(40.983),(81.946),(76.496)
(-) Amortization and depreciation charges,1211,(9.501),(6.186),(18.216),(12.044)
(+) Allocation of grants for non-financial assets and other,1212,777,833,1.151,1.587
"(+/-) Impairment of intangible assets and property, plant & equipment",1214,(341),,(341),
"(+/-) Gains/(losses) on disposal of intangible assets and property, plant & equipment",1216,,,,
(+/-) Other gains/(losses),1215,,,,
= OPERATING PROFIT/(LOSS),1245,25.091,9.975,42.843,17.458
(+) Finance income,1250,48,9,51,16
a) Interest income calculated using the effective interest rate method,1262,48,9,51,16
b) Other,1263,,,,
(-) Finance expenses,1251,(475),(274),(927),(712)
(+/-) Change in fair value of financial instruments,1252,25,(23),159,(23)
(+/-) Gains/(losses) due to the reclassification of financial assets held at amortised cost to financial assets held at fair value,1258,,,,
(+/-) Gains/(losses) due to the reclasification of financial assets held at fair value through other comprehensive income to financial assets held at fair value,1259,,,,
(+/-) Exchange rate differences,1254,(88),(83),(51),(83)
(+/-) Impairment on disposal of financial instruments,1255,,,,
(+/-) Gains/(losses) on disposal of financial instruments,1257,,,,
a) Financial instruments at amortised cost,1260,,,,
b) Rest of financial instruments,1261,,,,
= FINANCE PROFIT/(LOSS),1256,(490),(371),(768),(802)
(+/-) Profit/(loss) of entities measured using the equity method,1253,(185),49,(195),24
= PROFIT/(LOSS) BEFORE TAX,1265,24.416,9.653,41.880,16.680
(+/-) Corporate income tax,1270,(1.304),692,(2.607),1.215
= PROFIT/(LOSS) FOR PERIOD FROM CONTINUING OPERATIONS,1280,23.112,10.345,39.273,17.895
"(+/-)Profit/(loss) for period from discontinued operations, net of taxes",1285,,,,
= CONSOLIDATED PROFIT/(LOSS) FOR PERIOD,1288,23.112,10.345,39.273,17.895
a) Profit/(loss) attributed to parent company,1300,23.112,10.345,39.273,17.895
b) Profit/(loss) attributed to non-controlling interests,1289,,,,
