,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,31/12/2019,31/12/2018
A) NON-CURRENT ASSETS,1040,193.326,148.696
1. Intangible assets:,1030,45.079,34.650
a) Goodwill,1031,,
b) Other intangible assets,1032,45.079,34.650
"2. Property, plant and equipment",1033,131.608,95.837
3. Investment property,1034,,
4. Investments in group and associated companies accounted for using the equity me,tho1d035,1.843,2.038
5. Non-current financial investments,1036,71,70
a) At fair value through profit or loss,1047,71,70
"Of which, “Designated upon initial recognition”",1041,,
b) At fair value through other comprehensive income,1042,,
"Of which, “Designated upon initial recognition”",1043,,
c) At amortised cost,1044,,
6. Non-current derivatives,1039,,
a) Hedging instruments,1045,,
b) Other,1046,,
7. Deferred tax assets,1037,14.660,16.036
8. Other non-current assets,1038,65,65
B) CURRENT ASSETS,1085,317.885,254.004
1. Non-current assets held for sale,1050,,
2. Inventories,1055,158.811,94.861
3. Trade and other receivables,1060,91.645,63.594
a) Trade receivables for sale of goods and services,1061,71.616,50.953
b) Other receivables,1062,9.925,9.227
c) Current tax assets,1063,10.104,3.414
4. Current financial assets,1070,,
a) At fair value through profit or loss,1080,,
"Of which, “Designated upon initial recognition”",1081,,
b) At fair value through other comprehensive income,1082,,
"Of which, “Designated upon initial recognition”",1083,,
c) At amortised cost,1084,,
5.Current derivatives,1076,-,17
a) Hedging instruments,1077,-,17
b) Other,1078,,
6. Other current assets,1075,3,21
7. Cash and cash equivalents,1072,67.426,95.511
TOTAL ASSETS (A+B),1100,511.211,402.700
