,Development,Trademarks and licences,Computer software,Total
Balance at 01.01.23,,,,
Cost,"8,899 44,929 13,791 67,619",,,
Accumulated impairment,—,(494),—,(494)
Accumulated amortisation,"(2,296)","(16,617)","(12,468)","(31,381)"
Net carrying amount 01.01.23,"6,603 27,818 1,323 35,744",,,
Additions,—,—,"1,393 1,393",
Impairment,—,—,—,—
Amortisation charge,(442),"(2,373)",(453),"(3,268)"
Balance at 31.12.23,,,,
Cost,"8,899 44,929 15,184",,,"69,012 (494) (34,616)"
Accumulated impairment,—,(494),—,
Accumulated amortisation,"(2,738) (18,960) (12,918)",,,
Net carrying amount 31.12.23,"6,161 25,475 2,266 33,902",,,
Additions,—,—,"3,100","3,100"
Derecognitions,—,(34),(1),(35)
Eliminations from amortisation,—,25,—,25
Amortisation charge,"(442) (1,949) (651)",,,"(3,042)"
Balance at 31.12.24,,,,
Cost,"8,899","44,895","18,283","72,077"
Accumulated impairment,—,(494),—,(494)
Accumulated amortisation,"(3,180) (20,884) (13,569) (37,633)",,,
Net carrying amount 31.12.24,"5,719 23,517 4,714 33,950",,,
