,,Al 31 de diciembre,
,Nota,2025,2024
ACTIVO NO CORRIENTE,,182.325,180.316
Inmovilizado intangible Inmovilizado material Inversiones en empresas del grupo y asociadas a largo plazo,5 6 8 y 9 7 y 31 7 y 10 21,23.952 46.138 109.383 106.683 2.700 1.523 1.523 1.329,26.674 44.256 106.553 56.527 50.026 1.588 1.588 1.245
Instrumentos de patrimonio Créditos a empresas del grupo,,,
Inversiones financieras a largo plazo,,,
Otros activos financieros,,,
Activos por impuesto diferido,,,
,,,
ACTIVO CORRIENTE,,364.433,306.493
Existencias Deudores comerciales y otras cuentas a cobrar,12 7 y 10 7 y 10,75.043 114.765 64.746 48.264 1 129 1.625 82.862 43.988 38.874 2.563 89.200,130.097 112.829 52.958 55.956 1 9 3.905 44.948 3.054 41.894 2.062 16.557
"Clientes por ventas y prestaciones de servicios Clientes, empresas del grupo y asociadas",,,
Deudores varios,7 y 10,,
Personal,,,
Otros créditos con las Administraciones Públicas,23 7 y 10 7 y 13,,
,,,
Inversiones en empresas del grupo y asociadas a corto plazo,,,
Créditos a empresas Otros activos,,,
Periodificaciones a corto plazo Efectivo y otros activos líquidos equivalentes,,,
TOTAL ACTIVO,,546.758,486.809
