,,,,,,31 December,,,,,
,,,Note,,,2018,,,2017,,
Revenue,,,5 & 23,,,"303,203",,,"275,649",,
Change in inventories of finished goods and work in progress,,,,,,"9,050",,,"8,873",,
Raw materials and consumables used,,,,,,"(137,662)",,,"(119,065)",,
Employee benefit expenses,,,24,,,"(70,180)",,,"(63,990)",,
Non-current self-constructed assets,,,7,,,-,,,"2,057",,
Other operating expenses,,,25,,,"(76,496)",,,"(74,809)",,
Amortisation,,,6 & 7,,,"(12,044)",,,"(11,479)",,
,Amortisation,,,6 & 7,,,"(12,044)",,,"(11,479)",
,Recognition of government grants on non-financial non-current assets and other,,,,,,"1,587",,,"1,773",
OPERATING PROFIT,,,,,,"17,458",,,"19,009",,
,,,,,,,,,,,
Finance income,,,,,,16,,,93,,
Finance costs,,,,,,(712),,,"(1,013)",,
Impairment and gain or loss on measurement of financial instruments,,,,,,(23),,,-,,
Exchange difference,,,,,,(83),,,-,,
FINANCE COSTS - NET,,,27,,,(802),,,(920),,
,,,,,,,,,,,
Share of profit of joint venture,,,10,,,24,,,(567),,
,,,,,,,,,,,
PROFIT BEFORE INCOME TAX,,,,,,"16,680",,,"17,522",,
,,,,,,,,,,,
Income tax,,,28,,,"1,215",,,(281),,
,,,,,,,,,,,
PROFIT FOR THE YEAR,,,,,,"17,895",,,"17,241",,
,,,,,,,,,,,
,,,,,,,,,,,
,Earnings per share (basic and diluted) attributable to the shareholders of,,,,,,,,,,
,the Company (euros),,,,,,,,,,
- Basic and diluted,,,29,,,0.35,,,0.35,,
,- Basic and diluted,,,29,,,0.35,,,0.35,
,,,,,,,,,,,
