,31 December 2021,,"31 December, 2020",
,Alentia,Enervit,Alentia,Enervit
Condensed statement of financial position,"Biotech, S.L.","Nutrition, S.L.","Biotech, S.L.","Nutrition, S.L."
,,,,
Current,,,,
Cash and cash equivalents,2,22,106,13
Other current assets (excluding cash),—,"2,311",—,"2,087"
Total current assets,2,"2,333",106,"2,100"
Financial liabilities (excluding trade payables),,(48),,(926)
Oher current liabilities (including trade payables),—,"(1,299)",—,(746)
Total current liabilities,—,"(1,347)",—,"(1,672)"
,,,,
Non-current,,,,
"Property, plant and equipment",—,2,—,17
Intangible assets,—,"2,849",—,"3,055"
Other financial assets,—,—,—,
Deferred tax assets,—,151,—,119
Total non-current assets,—,"3,002",—,"3,196"
Financial liabilities,"(2,100)",—,"(2,200)",—
Other liabilities,—,—,—,—
Total non-current liabilities,"(2,100)",—,"(2,200)",—
,,,,
NET ASSETS,"(2,098)","3,988","(2,094)","3,624"
