,Thousand euros,,,,
,2021,,,2020,
,Debit,Credit,,Debit,Credit
,,,,,
,balance,balance,,balance,balance
Purchases/sales of goods or services,,,,,
- Subsidiaries,"92,755","8,546",,"142,342","104,228"
- Entities in which the López-Belmonte Encina fam.holds an interest,—,166,,—,164
,"92,755","8,712",,"142,342","104,392"
Income tax charge,,,,,
- Subsidiaries (Note 23),"18,362",210,,"22,494",104
- Joint ventures,—,80,,—,80
,"18,362",290,,"22,494",184
Loans granted at fair value,,,,,
- Subsidiaries,"25,963",—,,"31,804",—
- Joint ventures (*),2,—,,52,—
,"25,965",—,,"31,856",—
Interest,,,,,
- Subsidiaries,312,—,,528,—
,312,—,,528,—
Dividends,,,,,
- Subsidiaries,"24,962",—,,"83,917",—
,"24,962",—,,"83,917",—
Other items,,,,,
- Directors,—,"1,664",,44,"1,385"
- Key management,—,220,,—,215
,—,"1,884",,44,"1,600"
,,,,,
TOTAL,"162,356 10,886",,,"281,181","106,176"
