,,Equity,,,,,,,
,,,Share,,,Other,Adjustment,"Grants,",
,,Share,premium,Treasury,Profit/,equity,s for,donations,Total equity
,,capital,and reserves,stock,(loss) for the period,instrume nts,changes in value,and legacies received,
Closing balance at 01/01/2020 (comparative period),3050,3.364,248.006,(10.341),25.553,,(3),2.750,269.329
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance (comparative period),3055,3.364,248.006,(10.341),25.553,,(3),2.750,269.329
I. Total recognized income/(expenses),3060,,,,71.137,,,(344),70.793
II. Transactions with shareholders or owners,3065,,10.077,(9.844),(9.700),,,,(9.467)
1. Capital increases/(reductions),3066,,,,,,,,
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(9.700),,,,(9.700)
4. Treasury stock transactions (net),3069,,10.077,(9.844),,,,,233
5.Increases/ (reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,15.884,,(15.853),,,,31
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,15.853,,(15.853),,,,
3. Other changes,3078,,31,,,,,,31
Closing balance at 31/12/2020 (comparative period),3080,3.364,273.967,(20.185),71.137,,(3),2.406,330.686
