,,PREVIOUS PERIOD,,,,
,,Significant share- holders,Directors and senior manage- ment,"Persons, companies or entities belonging to the group",Other related parties,Total
1) Finance expenses,6340,,,,,
2) Rentals,6343,,25,,2.036,2.061
3) Services received,6344,,,,,
4) Purchases of goods (finished or in progress),6345,,,,,
5) Other expenses,6348,,,,,
EXPENSES (1+2+3+4+5),6350,,25,,2.036,2.061
6) Finance income,6351,,,,,
7) Dividends received,6354,,,,,
8) Services provided,6356,,,,,
9) Sale of goods (finished or in progress),6357,,,,,
10) Other income,6359,,,,,
INCOME (6+7+8+9+10),6360,,,,,
