,Note,31 December,
,,2024,2023
Equity,,"60,284","89,322"
"Fondos propios Capital Share premium Reserves (Treasury shares) Retained earnings Profit for the year Adjustments for changes in value Foreign exchange differences Grants, donations and legacies received",14 14 15 15 15 16 17,"59,283 3,074 87,636 7,032 (5,545) (108,460) 75,546 (28) (28) 1,029","87,975 3,241 87,636 7,032 (107,676) 85,671 12,071 (20) (20) 1,367"
NON-CURRENT ASSETS,,"157,655","143,899"
Non-current debt Bank borrowings Other financial liabilities Non-current debt with group and associated companies Deferred tax assets Non-current accruals,7 & 18 7 & 18 7 & 18 21 19,"80,503 70,659 9,844 72,500 2,834 1,818","38,557 31,250 7,307 99,800 4,111 1,431"
CURRENT LIABILITIES,,"268,870","231,157"
"Current provisions Current debt Bank borrowings Other financial liabilities Current debt with group and associated companies Trade and other payables Trade payables Trade payables, group and associated companies Sundry creditors Employees (outstanding remuneration) Current income tax liabilities Other debt with public authorities",20 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 23 23,"14,116 17,823 16,280 1,543 18,578 217,989 34,129 173,114 65 6,567 1,871 2,243","8,235 8,004 6,495 1,509 2,216 212,378 34,460 162,635 2,516 5,851 5,177 1,739 324"
Current accruals,19,364,
,,,
TOTAL EQUITY AND LIABILITIES,,"486,809","464,378"
