,,,"Patents,",Computer,
,,,licences and,,
,,,,,
,,Development,trademark,software,Total
Balance at 01.01.20,,,,,
Cost,,"9,094","44,075","7,031","60,200"
Accumulated impairment,,—,(341),—,(341)
Accumulated amortization,,"(1,215)","(11,387)","(5,670)","(18,272)"
Carrying amount 01.01.20,,"7,879","32,347","1,361","41,587"
Additions,,—,—,159,159
Impairment,,—,(56),—,(56)
Amortisation charge,,(455),"(3,191)",(557),"(4,203)"
Balance at 31.12.20,,,,,
Cost,,"9,094","44,075","7,190","60,359"
Accumulated impairment,,—,(397),—,(397)
Accumulated amortization,,"(1,670)","(14,578)","(6,227)","(22,475)"
Carrying amount 31.12.20,,"7,424","29,100",963,"37,487"
Additions,,—,,319,319
Impairment,,—,(95),—,(95)
Amortisation charge,,(455),"(2,925)",(515),"(3,895)"
Balance at 31.12.21,,,,,
Cost,,"9,094","44,075","7,509","60,678"
Accumulated impairment,,—,(492),—,(492)
Accumulated amortization,,"(2,125)","(17,503)","(6,742)","(26,370)"
Carrying amount 31.12.21,,"6,969","26,080",767,"33,816"
