,,,"31 December, 2018",,,,,,,"31 December, 2017",,,,
,,,,"31 December, 2018",,,,,,,,,,
Condensed statement of financial position,,,"Alentia Biotech, S.L.",,,,Enervit,,,"Alentia Biotech, S.L.",,,Enervit,
,,,,Alentia,,,"Nutrition,",,,,,,"Nutrition,",
,Condensed statement of financial position,,,"Biotech, S.L.",,,S.L.,,,,,,S.L.,
,,,,,,,,,,,,,,
Current,,,,,,,,,,,,,,
Cash and cash equivalents,,,102,,,245,,,,104,,703,,
Other current assets (excluding cash),,,6,,,"2,542",,,,6,,"2,305",,
Total current assets,,,108,,,"2,787",,,,110,,"3,008",,
Current liabilities (excluding trade payables),,,,,,"(1,342)",,,,,,"(1,266)",,
Other current liabilities (including trade payables),,,-,,,(910),,,,-,,"(1,427)",,
Total current liabilities,,,-,,,"(2,252)",,,,-,,"(2,693)",,
,Total current liabilities,,,-,,,"(2,252)",,,,,,"(2,693)",
,,,,,,,,,,,,,,
Non-current,,,,,,,,,,,,,,
,Non-current,,,,,,,,,,,,,
,"Property, plant and equipment",,,-,,,21,,,-,,,-,
Intangible assets,,,-,,,"3,478",,,,-,,"3,685",,
Other financial assets,,,-,,,5,,,,-,,5,,
,Other financial assets,,,-,,,5,,,,,,5,
,Deferred tax assets,,,-,,,37,,,-,,,37,
Total non-current assets,,,-,,,"3,541",,,,-,,"3,727",,
Financial liabilities,,,"(2,200)",,,-,,,,"(2,200)",,-,,
Other liabilities,,,-,,,-,,,,-,,(14),,
Total non-current liabilities,,,"(2,200)",,,-,,,,"(2,200)",,(14),,
,Total non-current liabilities,,,"(2,200)",,,-,,,,,,(14),
,,,,,,,,,,,,,,
NET ASSETS,,,"(2,092)",,,"4,076",,,,"(2,090)",,"4,028",,
