,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,31/12/2021,31/12/2020
A) PROFIT/(LOSS) FOR PERIOD (from Income Statement),0305,65.143,71.137
B) INCOME OR EXPENSES CREDITED OR CHARGED DIRECTLY TO EQUITY:,0310,700,514
1. Measurement of financial instruments,0320,1,
a) Available-for-sale financial assets,0321,1,
b) Other income /(expenses),0323,,
2. Cash flow hedges,0330,,
"3. Grants, donations and legacies received",0340,933,686
4. Actuarial gains and losses and other adjustments,0344,,
5. Other income or expenses credited or charged directly to equity,0343,,
6. Tax effect,0345,(234),(172)
C) TRANSFERS TO PROFIT AND LOSS:,0350,(994),(858)
1. Measurement of financial instruments,0355,,
a) Available-for-sale financial assets,0356,,
b) Other income /(expenses),0358,,
2. Cash flow hedges,0360,,
"3. Grants, donations and legacies received",0366,(1.326),(1.145)
4. Other income or expenses credited or charged directly to equity,0365,,
5. Tax effect,0370,332,287
TOTAL RECOGNIZED INCOME/(EXPENSES) (A+B+C),0400,64.849,70.793
