,Land and buildings,,Technical,,"Furniture, fittings & other",IT equipment & vehicles,Total
,,,"facilities,",,,,
,,,machinery &,,,,
,,,tools,,,,
Balance at 01.01.17,,,,,,,
Cost,"34,292","154,271",,,"2,998","13,218","204,779"
Accumulated amortisation,"(17,671)","(90,876)",,,"(2,342)","(11,068)","(121,957)"
Carrying amount 01.01.17,"16,621","63,395",,,656,"2,150","82,822"
Additions,4,"14,187",,,238,503,"14,932"
Retirements,-,(48),,,-,-,(48)
Eliminations from amortisation,-,23,,,-,-,23
Amortisation charge,(229),"(7,325)",,,(100),"(1,019)","(8,673)"
Balance at 31.12.17,,,,,,,
Cost,"34,296","168,410",,,"3,236","13,721","219,663"
Accumulated amortisation,"(17,900)","(98,178)",,,"(2,442)","(12,087)","(130,607)"
Net carrying amount 31.12.17,"16,396","70,232",,,794,"1,634","89,056"
Additions,-,"15,510",,,61,819,"16,390"
Retirements,-,(65),,,-,-,(65)
Eliminations from amortisation,-,3,,,-,-,3
Amortisation charge,(229),"(8,250)",,,(125),(943),"(9,547)"
Balance at 31.12.18,,,,,,,
Cost,"34,296","183,855",,,"3,297","14,540","235,988"
Accumulated amortisation,"(18,129)","(106,425)",,,"(2,567)","(13,030)","(140,151)"
Net carrying amount 31.12.18,"16,167","77,430",,,730,"1,510","95,837"
