Financial Year 2024,Economic activities,seitivitca elbigele - ymonoxaT .A,)dengila-ymonoxaT( seitivitca elbaniatsus yllatnemnorivnE .1.A,yllatnemnorivne seitivitca )dengila-ymonoxaT( elbaniatsus )1.A( fo revonruT,gnilbanE hcihw fO,lanoitisnarT hcihw fO,)seitivitca dengila-ymonoxaT ton( seitivitca elbaniatsus yllatnemnorivne ton tub elbigilE-ymonoxaT .2.A,stneidergni )*( evitca secnatsbus fo erutcafunaM lacituecamrahp evitca ro )IPA(,lanicidem )*( fo stcudorp erutcafunaM,elbigile )seitivitca yllatnemnorivne ton( ymonoxaT seitivitca dengila )2.A( elbaniatsus fo ymonoxaT ton revonruT tub,elbigile )2.A+1.A( fo revonruT ymonoxaT seitivitca A,seitivitca elbigele-noN- ymonoxaT . B,non ymonoxaT )B( elbigile seitivitca fo revonruT,Total
2024,Code,,,,,,,PPC 1.1,PPC 1.2,,,,,
,Turnover (€),,,-,-,-,,"19,593,522","267,080,464","286,673,985","286,673,985",,"477,075,014","763,749,000"
,Proportion of Turnover 2024,,,0%,0%,0%,,2.565%,34.970%,37.535%,37.535%,,62.465%,100%
Substantial contribution criteria,Climate Change Mitigation,,,0%,0%,0%,,N/EL,N/EL,0%,0%,,4202 ni tnemngila troper ton lliw IVOR )*(,
,Climate Change Adaptation,,,0%,0%,,,N/EL,N/EL,0%,0%,,,
,Water,,,0%,0%,,,N/EL,N/EL,0%,0%,,,
,Pollution,,,0%,0%,,,EL,EL,37.535%,37.535%,,,
,Circular Economy,,,0%,0%,,,N/EL,N/EL,0%,0%,,,
,Biodiversity,,,S,0%,,,N/EL,N/EL,0%,0%,,,
"DNSH criteria (""Does not significantly harm"")",Climate Change Mitigation,,,S,S,S,,,,,,,,
,Climate Change Adaptation,,,S,S,S,,,,,,,,
,Water,,,S,S,S,,,,,,,,
,Pollution,,,S,S,S,,,,,,,,
,Circular Economy,,,S,S,S,,,,,,,,
,Biodiversity,,,S,S,S,,,,,,,,
,Minimum Safeguards,,,S,S,S,,,,,,,,
,"Proportion of Taxonomy aligned (A.1.) or eligible (A.2.) turnover, year 2023",,,0%,0%,0%,,2.747%,33.265%,36.012%,36.012%,,,
,Category enabling activity,,,,F,,,,,,,,,
,Category transitional activity,,,,,T,,,,,,,,
