,,CURRENT PERIOD,PREVIOUS PERIOD
,,31/12/2018,31/12/2017
A) NON-CURRENT ASSETS,1040,148.696,130.215
1. Intangible assets:,1030,34.650,27.078
a) Goodwill,1031,,
b) Other intangible assets,1032,34.650,27.078
"2. Property, plant and equipment",1033,95.837,89.056
3. Investment property,1034,,
4. Investments in group and associated companies accounted for using the equity me,tho1d035,2.038,2.054
5. Non-current financial investments,1036,70,69
a) At fair value through profit or loss,1047,70,69
"Of which, “Designated upon initial recognition”",1041,,
b) At fair value through other comprehensive income,1042,,
"Of which, “Designated upon initial recognition”",1043,,
c) At amortised cost,1044,,
6. Non-current derivatives,1039,,
a) Hedging instruments,1045,,
b) Other,1046,,
7. Deferred tax assets,1037,16.036,11.893
8. Other non-current assets,1038,65,65
B) CURRENT ASSETS,1085,254.004,168.167
1. Non-current assets held for sale,1050,,
2. Inventories,1055,94.861,75.492
3. Trade and other receivables,1060,63.594,51.975
a) Trade receivables for sale of goods and services,1061,50.953,40.993
b) Other receivables,1062,9.227,8.754
c) Current tax assets,1063,3.414,2.228
4. Current financial assets,1070,,
a) At fair value through profit or loss,1080,,
"Of which, “Designated upon initial recognition”",1081,,
b) At fair value through other comprehensive income,1082,,
"Of which, “Designated upon initial recognition”",1083,,
c) At amortised cost,1084,,
5.Current derivatives,1076,17,
a) Hedging instruments,1077,17,
b) Other,1078,,
6. Other current assets,1075,21,
7. Cash and cash equivalents,1072,95.511,40.700
TOTAL ASSETS (A+B),1100,402.700,298.382
