,,Trademarks &,Computer,
,,,,
,Development,,,Total
,,licences,software,
Balance at 01.01.20,,,,
Cost,"8,873","44,929","12,080","65,882"
Accumulated impairment,—,(341),—,(341)
Accumulated amortization,(944),"(9,076)","(10,442)","(20,462)"
Net carrying amount 01.01.20,"7,929","35,512","1,638","45,079"
Additions,13,—,342,355
Retirements,—,—,(9),(9)
Eliminations from amortisation,—,—,2,2
Impairment,—,(56),—,(56)
Amortisation charge,(455),"(2,672)",(831),"(3,958)"
Balance at 31.12.20,,,,
Cost,"8,886","44,929","12,413","66,228"
Accumulated impairment,—,(397),—,(397)
Accumulated amortization,"(1,399)","(11,748)","(11,271)","(24,418)"
Net carrying amount 31.12.20,"7,487","32,784","1,142","41,413"
Additions,13,—,709,722
Impairment,—,(95),—,(95)
Amortisation charge,(455),"(2,422)",(605),"(3,482)"
Balance at 31.12.21,,,,
Cost,"8,899","44,929","13,122","66,950"
Accumulated impairment,—,(492),—,(492)
Accumulated amortization,"(1,854)","(14,170)","(11,876)","(27,900)"
Net carrying amount 31.12.21,"7,045","30,267","1,246","38,558"
