Residuos no peligrosos destinados a eliminación,Escúzar,Granada,Madrid,SSRR,Alcalá de Henares,Distribución,Total
2025,,,,,,,
"Incineración (con recuperación 0,00 0,00 0,00 0,00 0,00 0,00 energética)",,,,,,,"0,00"
"Incineración (sin recuperación 0,00 0,00 2,63 0,00 0,00 0,00 energética)",,,,,,,"2,63"
"Vertedero 2.384,08 345,88 0,00 0,00 1,75 0,50",,,,,,,"2.732,20"
"Otras operaciones de eliminación 0,00 0,00 0,00 0,00 0,00 0,00",,,,,,,"0,00"
Total,"2.384,08","345,88","2,63","0,00","1,75","0,50","2.734,83"
2024,,,,,,,
"Incineración (con recuperación 0,00 0,00 0,00 0,00 0,00 0,00 energética)",,,,,,,"0,00"
"Incineración (sin recuperación 0,00 0,00 0,00 0,00 0,00 0,00 energética)",,,,,,,"0,00"
"Vertedero 0,00 0,00 0,00 0,00 1,98 0,00",,,,,,,"1,98"
"Otras operaciones de eliminación 1.310,48 969,88 0,00 92,82 0,00 0,00",,,,,,,"2.373,18"
Total,"1.310,48","969,88","0,00","92,82","1,98","0,00","2.375,16"
"% Variación 81,92 %60 -64,34 % — % -100 % -11,73 % — % 15,14 %",,,,,,,
