,Thousands of euros,,,,,,
,Income statement,,,,Income and expenses credited/(charged) directly in equity,,
,,,,,,,
Balance income & expenses,,,"15,581",,,,"(4,243)"
,Increases,Decreases,Total,,Increases,Decreases,Total
Income tax,,,"(4,529)",,,,"(1,414)"
Permanent differences,,,,,,,
- Individual,793,"(5,175)","(4,382)",,-,-,-
- Due to tax consolidation,-,"(12,791)","(12,791)",,-,-,-
Temporary differences,,,,,,,
- Individual,,,,,,,
- originating in the period,"1,216",-,"1,216",,-,-,-
- originating in previous periods.,371,(995),(624),,-,-,-
- Due to tax consolidation,,,,,,,
- originating in the period,-,"(1,431)","(1,431)",,-,-,-
- originating in previous periods.,"3,022",-,"3,022",,-,-,-
Taxable income,,,"(3,938)",,,,"(5,657)"
