Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Salarios adecuados,,,,,
Operaciones propias,"El compromiso de ROVI con el bienestar de sus trabajadores se refleja en medidas que garantizan salarios adecuados, fomentando su satisfacción laboral y su salud personal y financiera.",Impacto positivo,Real,< 1 año,• Política de sostenibilidad en materia medioambiental y social • Política de Derechos Humanos • Código Ético • Política de Remuneraciones de los miembros del Consejo de Administración
Operaciones propias,La existencia de una Comisión de Nombramientos y Retribuciones independiente proporciona una supervisión sólida de la remuneración de los consejeros y promueve una remuneración justa y transparente.,Impacto positivo,Real,< 1 año,
Operaciones propias,"La existencia de la Política de Remuneraciones de los miembros del Consejo de Administración y la Política de Retribuciones de los Altos Directivos garantiza unos salarios adecuados, transparentes y justos.",Impacto positivo,Real,< 1 año,
Operaciones propias,"El incremento salarial adicional al establecido por el convenio colectivo, junto con la revisión periódica de ciertos puestos, permite a ROVI ofrecer salarios más competitivos que garantizan remuneraciones adecuadas, transparentes y justas.",Impacto positivo,Real,< 1 año,
Operaciones propias,La oferta de salarios menos competitivos que los de la competencia podría aumentar la rotación y la pérdida de talento.,Riesgo,Potencial,1-5 años,
Diversidad,,,,,
Operaciones propias,"El enfoque de ROVI en materia de atracción y retención del talento asegura procesos de selección basados en méritos y capacidades, priorizando candidaturas internas, promoción de jóvenes e inclusión de personas con distintas capacidades, lo que favorece ambientes diversos y refuerza el sentido de pertenencia.",Impacto positivo,Real,< 1 año,• Código Ético • Política de Sostenibilidad en materia Medioambiental y Social • Política de Derechos Humanos
Empleo e inclusión de las personas con discapacidad,,,,,
Operaciones propias,"Las medidas implementadas para generar sinergias entre los empleados y favorecer la integración laboral de personas con discapacidad permiten a las mismas mejorar sus capacidades personales, sociales y profesionales.",Impacto positivo,Real,< 1 año,• Plan de Igualdad • Política de Sostenibilidad en materia Medioambiental y Social • Política de Derechos Humanos
Operaciones propias,"Los acuerdos para desarrollar programas de apoyo dirigidos a la inclusión laboral de personas con discapacidad intelectual en ROVI y la contratación de servicios a centros especiales de empleo, disminuyen el riesgo de exclusión social y económica de este colectivo vulnerable.",Impacto positivo,Real,< 1 año,
Formación y desarrollo de capacidades,,,,,
Operaciones propias,"La identificación de necesidades y planificación de acciones formativas, mediante la Política de Formación y Desarrollo de ROVI, permiten a los trabajadores seguir un proceso continuo y personalizado de desarrollo profesional.",Impacto positivo,Real,< 1 año,• Política de Formación y Desarrollo
Igualdad de género e igualdad de remuneración por un trabajo de igual valor,,,,,
Operaciones propias,El rechazo a la discriminación y a cualquier forma de violencia o acoso mediante diferentes mecanismos (Código Ético y Protocolo para la Prevención y Tratamiento de los casos de Acoso Moral y Sexual) garantiza la igualdad de trato y oportunidades para todos.,Impacto positivo,Real,< 1 año,• Protocolo para la Prevención y Tratamiento de los casos de Acoso Moral y Sexual • Plan de Igualdad
Operaciones propias,"El compromiso con la equidad salarial constituye la base de la política retributiva de ROVI. Se refleja tanto en la determinación inicial como en las revisiones posteriores de los salarios, asegurando igualdad de remuneración por trabajos de igual valor.",Impacto positivo,Real,< 1 año,
Operaciones propias,"La promoción de una política de igualdad de oportunidades, que se ve reflejada en el Comité de Dirección, asegura la ausencia de discriminación por género u otras formas en aspectos salariales, formativos, de promoción y en todas las áreas de su competencia.",Impacto positivo,Real,< 1 año,
