,,,Thousands of euros,
,,,2018,2017
Pre-tax profit for the year,,,"11,052","12,229"
Adjustments to the profit:,,,,
,Adjustments to the profit:,,,
,"- Amortisation/deprec. of intangible assets & property, plant & equipment (Notes 5 y",,"7,753","7,891"
,6),,,
- Finance income (Note 24.a),,,(54),(89)
- Finance costs (Note 24.a),,,684,987
- Adjustments for change in value of financial instruments,,,33,-
- Net change in provisions,,,"3,718",630
- Grant for non-financial assets and distribution licence revenue,,,"(1,806)","(2,006)"
- Other gains and losses,,,"1,816",(651)
,,,"23,196","18,991"
Changes in working capital:,,,,
- Inventories,,,"(7,562)","1,122"
- Debtors and other receivables,,,"(84,985)","32,722"
- Creditors and other payables,,,"56,451","(43,401)"
,,,"(36,096)","(9,557)"
Other cash flows from operating activities:,,,,
- Income tax received/(paid),,,"(3,141)",113
- Other amounts received/(paid) (Note 19),,,"5,927",128
,,,"2,786",241
Cash flows generated (used) in operating activities,,,"(10,114)","9,675"
