,Desarrollo,Marcas comerciales y licencias,Aplicaciones informáticas,Total
Saldo al 01.01.21,,,,
Coste,8.886 44.929 12.413 66.228,,,
Deterioro acumulado,—,(397),—,(397)
Amortización acumulada,(1.399) (11.748) (11.271) (24.418),,,
Valor neto contable 01.01.21,7.487 32.784 1.142 41.413,,,
Altas,13,—,709 722,
Deterioro,—,(95),—,(95)
Dotación a la amortización,(455) (2.422) (605) (3.482),,,
Saldo al 31.12.21,,,,
Coste,8.899 44.929 13.122,,,66.950 (492) (27.900)
Deterioro acumulado,—,(492),—,
Amortización acumulada,(1.854) (14.170) (11.876),,,
Valor neto contable 31.12.21,7.045 30.267 1.246 38.558,,,
Altas,— —,,669 669,
Deterioro,—,(2),—,(2) (3.481)
Dotación a la amortización,(442) (2.447) (592),,,
Saldo al 31.12.22,,,,
Coste,8.899 44.929 13.791 67.619,,,
Deterioro acumulado,—,(494),—,(494)
Amortización acumulada,(2.296) (16.617) (12.468) (31.381),,,
Valor neto contable 31.12.22,6.603 27.818 1.323 35.744,,,
