,,Thousands of euros,,Years,
,,,Initial fair,Repayment,Grace
Entity,Project,Face value,value,period,period
Technological Corporation of Andalusia,(1),229,188,10,4
Technological Corporation of Andalusia,(1),77,64,10,4
Technological Corporation of Andalusia,(1),28,23,10,4
Industrial Technological Development Centre,(1),140,118,7,4
Industrial Technological Development Centre,(1),"1,575","1,314",8,4
Technological Corporation of Andalusia,(1),84,69,10,4
Industrial Technological Development Centre,(1),160,133,7,4
Torres Quevedo Programme,(2),57,50,3,3
,,"2,350","1,959",,
