,,,% Direct interest,,,Carrying amount of interest,,,Capital,,,Reserves,,,Profit or loss for period,,Total equity,
"Rovi Contract Manufacturing, S.L.",,,100%,,,"1,772",,,36,,,"14,011",,,"9,307",,"23,354",
"Bemipharma Manufacturing, S.L.",,,100%,,,559,,,36,,,"2,827",,,(29),,"2,834",
"Pan Química Farmacéutica, S.A.",,,100%,,,"1,771",,,601,,,"1,274",,,444,,"2,319",
"Gineladius, S.L.",,,100%,,,293,,,30,,,550,,,(91),,489,
Bertex Pharma GmbH (Nota 29.b),,,100%,,,"1,236",,,25,,,71,,,(3),,93,
"Frosst Ibérica, S.A.U.",,,100%,,,"5,039",,,"7,816",,,"14,485",,,"3,040",,"25,341",
"Rovi Biotech, Ltda.",,,99%,,,2,,,2,,,-,,,-,,2,
"Rovi Biotech, Limited",,,100%,,,7,,,7,,,(1),,,(246),,(240),
"Rovi Biotech, S.R.L.",,,100%,,,10,,,10,,,(6),,,(203),,(199),
"Rovi Biotech, GmbH",,,100%,,,25,,,25,,,(3),,,"(1,091)",,"(1,069)",
,"Rovi Biotech, GmbH",,,100%,,,25,,,25,,,(3),,,,,
,Rovi S.A.S.,,,100%,,,5,,,5,,,-,,,(176),(171),
,,,,,,"10,719",,,,,,,,,,,,
