Financial Year 2024,Economic activities,)seitivitca dengila-ymonoxaT ton( seitivitca elbaniatsus yllatnemnorivne ton tub elbigilE-ymonoxaT 2.A,evitca ro )*( lacituecamrahp )IPA( secnatsbus fo erutcafunaM stneidergni evitca,)*( stcudorp fo erutcafunaM lanicidem,dna etsaw noitcelloc tnemtaert fo laweneR retaw,elbigile dengila seitivitca yllatnemnorivne ymonoxaT )seitivitca ton ymonoxaT )2.A( elbaniatsus tub fo xEpO ton(,ymonoxaT seitivitca )2.A+1.A( fo elbigile xEpO .A,seitivitca elbigele-noN- ymonoxaT . B,elbigile non seitivitca ymonoxaT )B( fo xEpO,Total
2024,Code,,PPC 1.1,PPC 1.2,CCM 5.4,,,,,
,OpEx (€),,"248,173","9,498,144","39,847","9,786,164","9,933,047",,"27,314,953","37,248,000"
,Proportion of OpEx 2024,,0.666%,25.500%,0.107%,26.273%,26.667%,,73.333%,100%
Substantial contribution criteria,Climate Change Mitigation,,N/EL,N/EL,EL,0.107%,0.501%,,"gnineercs ytilibigile eriuqer ton did ytivitca siht ,2202 nI )*(",
,Climate Change Adaptation,,N/EL,N/EL,N/EL,0%,0%,,,
,Water,,N/EL,N/EL,N/EL,0%,0%,,,
,Pollution,,EL,EL,N/EL,26.166%,26.166%,,,
,Circular Economy,,N/EL,N/EL,N/EL,0%,0%,,,
,Biodiversity,,N/EL,N/EL,N/EL,0%,0%,,,
"DNSH criteria (""Does not significantly harm""",Climate Change Mitigation,,,,,,,,,
,Climate Change Adaptation,,,,,,,,,
,Water,,,,,,,,,
,Pollution,,,,,,,,,
,Circular Economy,,,,,,,,,
,Biodiversity,,,,,,,,,
,Minimum Safeguards,,,,,,,,,
,"Proportion of Taxonomy aligned (A.1.) or eligible (A.2.) OpEx, year 2023",,1.325%,24.063%,0.061%,25.459%,25.595%,,,
,Category enabling activity,,,,,,,,,
,Category transitional activity,,,,,,,,,
