,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Opening balance at 01/01/2023,3150,3.241,344.671,(27.561),199.669,,(8),1.367,521.379
Adjustments for changes in accounting policies,3151,,,,,,,,
Adjustments for errors,3152,,,,,,,,
Adjusted opening balance,3155,3.241,344.671,(27.561),199.669,,(8),1.367,521.379
I. Total recognized income/(expenses),3160,,,,66.646,,(16),(2),66.628
II. Transactions with shareholders or owners,3165,,(1.072),959,(69.886),,,1.777,(68.222)
1. Capital increases/(reductions),3166,,,,,,,,
2. Conversion of financial liabilities to equity,3167,,,,,,,,
3. Distribution of dividends,3168,,,,(69.886),,,,(69.886)
4. Treasury stock transactions (net),3169,,(1.072),959,,,,,(113)
5.Increases/(reductions) due to business combinations,3170,,,,,,,,-
6. Other transactions with shareholders or owners,3172,,,,,,,1.777,1.777
III. Other equity transactions,3175,,129.783,,(129.783),,,-,-
1. Payments based on equity instruments,3176,,,,,,,,
2. Transfers between equity items,3177,,129.783,,(129.783),,,,
3. Other changes,3178,,-,,,,,,-
Closing balance at 30/06/2023,3180,3.241,473.382,(26.602),66.646,,(24),3.142,519.785
