,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Opening balance at 01/01/2016,3150,3.000,150.090,(8.112),19.809,,(2),,164.785
Adjustments for changes in accounting policies,3151,,,,,,,,
Adjustments for errors,3152,,,,,,,,
Adjusted opening balance,3155,3.000,150.090,(8.112),19.809,,(2),,164.785
I. Total recognized income/(expenses),3160,,,,26.089,,(1),,26.088
II. Transactions with shareholders or owners,3165,,48,(589),(6.853),,,,(7.394)
1. Capital increases/(reductions),3166,,,,,,,,
2. Conversion of financial liabilities to equity,3167,,,,,,,,
3. Distribution of dividends,3168,,,,(6.853),,,,(6.853)
4. Treasury stock transactions (net),3169,,48,(589),,,,,(541)
5.Increases/(reductions) due to business combinations,3170,,,,,,,,
6. Other transactions with shareholders or owners,3172,,,,,,,,
III. Other equity transactions,3175,,12.883,,(12.956),,,,(73)
1. Payments based on equity instruments,3176,,,,,,,,
2. Transfers between equity items,3177,,12.956,,(12.956),,,,-
3. Other changes,3178,,(73),,,,,,(73)
Closing balance at 31/12/2016,3180,3.000,163.021,(8.701),26.089,,(3),,183.406
