"Alentia Enervit Condensed statement of financial position Biotech, S.L. Nutrition, S.L.",
"Current Cash and cash equivalents 104 703 Other current assets (excluding cash) 6 2,305",
"Total current assets 110 3,008",
"Financial liabilities (excluding trade payables) - (1,266) Other current liabilities (including trade payables) - (1,427)",
"Total current liabilities - (2,693)",
"Non-current Intangible assets - 3,685",
,- 5
Deferred income tax assets - 37,
"Total non-current assets - 3,727",
"Financial liabilities (2,200) - Other liabilities - (14)",
"Total non-current liabilities (2,200) (14)",
,
"NET ASSETS (2,090) 4,028",
