"• Estuches (procedente de bosque certificado) 750,66 - — %",,,
"• Material biológico de laboratorio (medios de 0,73 - — % cultivo, tejidos, microorganismos, etc.)",,,
"• Heparina cruda y heparina sódica 11,72 - — %",,,
"Peso total de los materiales biológicos % 14,16 % 22,96 % -38,34 %",,,
"Técnicos (t) 4.625,77 4.034,12 14,67 %",,,
"• Principios activos 10,94 68,10 -83,93 %",,,
"• Excipientes 1.688,32 392,90 329,71 %",,,
"• Reactivos 1,96 0,01 19.470,00 %",,,
"• Materiales de acondicionamiento primario 697,68 791,70 -11,88 %",,,
"• Materiales de acondicionamiento secundario 1.030,46 1.910,41 -46,06 %",,,
"• Materiales de acondicionamiento terciario 1.196,42 871,00 37,36 %",,,
Total,"5.388,88","5.236,71","2,91 %"
