,31 December 2024 31 December 2023,,,
Condensed statement of comprehensive income,"Cells IA Terafront Cells IA Technologies Farmatech, Technologies Enervit , S.L. S.L. , S.L. Nutrition, S.L.",,,
,,,,
Revenue,195 — (368) (290) (14),— — — (90) —,— — (45),"5,727 (4,777) (351)"
Procurements and changes in inventories,,,,
Employee benefit expenses Other operating expenses Amortisation and depreciation,,,,
,,,(76) (448),
,,,(7),(335)
Operating profit/(loss),(477),(90) (128) (184),,
Finance costs - net,—,— — —,,
Income tax,24,—,—,—
Profit/(loss) for the period,(453),(90) (128) (184),,
,,,,
Other comprehensive income,— — — —,,,
,,,,
TOTAL COMPREHENSIVE INCOME,(453),(90) (128) (184),,
,,,,
Dividends received from joint ventures,— — — —,,,
