,,31 December,
,Note,2021,2020
EQUITY,,"339,631","330,686"
Equity,,"337,522","328,283"
Capital,14,"3,364","3,364"
Share premium,14,"87,636","87,636"
Reserves,15,"7,032","7,032"
(Treasury shares),15,"(66,121)","(20,185)"
Retained earnings,15,"240,468","179,299"
Profit for the year,16,"65,143","71,137"
,,,
Adjustments for change in value,,(2),(3)
Financial assets at fair value through equity,,(2),(3)
,,,
"Grants, donations and legacies received",17,"2,111","2,406"
,,,
NON-CURRENT LIABILITIES,,"58,036","64,135"
Non-current debt,,"52,298","53,647"
Bank borrowings,7 & 18,"44,107","44,825"
Other financial liabilities,7 & 18,"8,191","8,822"
,,,
,,,
Deferred tax liabilities,21,"4,278","4,700"
,,,
Non-current accruals,19,"1,460","5,788"
,,,
CURRENT LIABILITIES,,"80,432","160,706"
Current provisions,20,"9,430","15,741"
,,,
Current debt,,"2,890","2,867"
Bank borrowings,7 & 18,714,175
Financial derivatives,7 & 18,17,925
Other financial liabilities,7 & 18,"2,159","1,767"
,,,
Current debt with group and associated companies,7 & 18,290,184
,,,
Trade and other payables,,"67,036","140,834"
Trade payables,7 & 18,"48,620","30,920"
"Trade payables, group and associated companies",7 & 18,"8,546","104,228"
Sundry creditors,7 & 18,"3,713",371
Employees (outstanding remuneration),7 & 18,"4,717","4,038"
Other debt with the public authorities,23,"1,440","1,277"
,,,
Current accruals,19,786,"1,080"
,,,
TOTAL EQUITY AND LIABILITIES,,"478,099","555,527"
