,31 de diciembre de 2025,,31 de diciembre de 2024,
Estado del resultado global resumido,"Cells IA Technologies , S.L. (*)","Terafront Farmatech, S.L.","Cells IA Technologies , S.L.","Terafront Farmatech, S.L."
,,,,
Importe neto de la cifra de negocio,— — — (100),— — — (144),195 — —,— — —
Trabajos realizados por la empresa para su activo,,,,
Aprovisionamientos y variación de existencias,,,,
Gastos de personal,,,(368) —,
Otros gastos de explotación,(33),(226) (290) (90),,
Amortizaciones,(1),— (14) —,,
Resultado de explotación,(134),(370) (477) (90),,
Resultado financiero,(2),825 — —,,
Impuesto sobre beneficios,—,(80),24 —,
Resultado del periodo,(136),375 (453) (90),,
,,,,
Otro resultado global,—,— — —,,
,,,,
TOTAL RESULTADO GLOBAL,(136),375 (453) (90),,
,,,,
