,,Equity,,,,,Adjust- ments for changes in value,"Grants, donations and legacies received",Total equity
,,Share capital,Share premium and reserves,Treasury stock,Profit/ (loss) for the period,Other equity instru- ments,,,
Closing balance at 01/01/2018,3010,3.000,138.434,(8.407),18.673,,(2),3.489,155.187
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.000,138.434,(8.407),18.673,,(2),3.489,155.187
I. Total recognized income/(expenses),3020,,,,15.581,,(1),(361),15.219
II. Transactions with shareholders or owners,3025,364,84.008,(405),(5.952),,,,78.015
1. Capital increases/(reductions),3026,364,83.755,,,,,,84.119
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(5.952),,,,(5.952)
4. Treasury stock transactions (net),3029,,253,(405),,,,,(152)
5.Increases/(reductions) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,,,,,,
III. Other equity transactions,3035,,12.721,,(12.721),,,,
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,12.721,,(12.721),,,,
3. Other changes,3038,,,,,,,,
Closing balance at 31/12/2018,3040,3.364,235.163,(8.812),15.581,,(3),3.128,248.421
