,Thousand euros,
,2021,2020
Non-current financial liabilities at amortised cost,,
- Bank borrowings (a),"44,107","44,825"
- Debt with government entities (b),"8,191","8,822"
,"52,298","53,647"
Current financial liabilities at amortised cost,,
- Bank borrowings (a),714,175
- Debt with government entities (b),"2,159","1,767"
- Current debt with group and associated companies (Note 31 i),290,184
- Trade payables,"48,454","30,756"
"- Trade payables, related parties (Note 31 i)","10,596","105,992"
- Sundry creditors,"3,713",371
- Employees,"2,833","2,438"
,"68,759","142,608"
Current financial liabilities at amortised cost,,
- Financial derivatives,17,925
,17,925
,"68,776","142,608"
,"121,074","196,255"
