Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Acceso a la información (de calidad),,,,,
Operaciones propias,La ausencia de información necesaria sobre un ensayo clínico en el que va a participar un paciente podría comprometer su salud.,Impacto negativo,Potencial,< 1 año,• Política de Transparencia de Datos
Aguas abajo,"La falta, inexactitud o inaccesibilidad de información clara y actualizada para profesionales sanitarios y pacientes sobre el uso adecuado de los medicamentos podría provocar incidentes y poner en riesgo la salud de los usuarios.",Impacto negativo,Potencial,> 5 años,
Acceso a productos y servicios,,,,,
Operaciones propias,"La colaboración de ROVI con universidades y centros científicos impulsa la I+D sobre los medicamentos, contribuyendo al bienestar y la salud de los pacientes.",Impacto positivo,Real,< 1 año,• Código Ético • Política integrada de Propiedad Industrial e Intelectual • Política sobre Investigación y Desarrollo con Células Madre • Política de investigación en Ingeniería genética • Política sobre Investigación en Nanotecnología • Política de Acceso a los Medicamentos
Operaciones propias,"La investigación sobre la heparina en el ámbito de la glicómica, llevada a cabo por ROVI durante años, aporta beneficios significativos a la sociedad al impulsar nuevos conocimientos científicos y el desarrollo de medicamentos innovadores.",Impacto positivo,Real,< 1 año,
Operaciones propias,Las alianzas estratégicas de ROVI con las autoridades sanitarias mejoran la salud de la sociedad mediante la colaboración público- privada.,Impacto positivo,Real,< 1 año,
Aguas abajo,"Las importaciones paralelas dificultan la trazabilidad y la gestión de notificaciones de efectos adversos por parte de los consumidores, afectando a la gestión de las reclamaciones y la farmacovigilancia.",Impacto negativo,Real,< 1 año,
Aguas abajo,La comercialización de productos de ROVI a través de importaciones paralelas podría suponer una pérdida de cuota de mercado y comprometer la trazabilidad del producto.,Riesgo,Potencial,< 1 año,
Operaciones propias,"La anticipación de un competidor en la investigación de uno de los productos objeto de los proyectos en curso de I+D de ROVI, podría afectar a la viabilidad del proyecto y rentabilidad de la inversión.",Riesgo,Potencial,1-5 años,
Operaciones propias,La aprobación de medicamentos sustitutivos de productos de ROVI por parte de la competencia podría afectar a los ingresos del Grupo.,Riesgo,Potencial,1-5 años,
Aguas abajo,La introducción de medidas de austeridad por parte de la Administración para reducir su factura farmacéutica podría afectar a las ventas del Grupo.,Riesgo,Potencial,1-5 años,
Aguas abajo,"La investigación y el análisis de necesidades de salud en otros países podrían impulsar el crecimiento e innovación de ROVI, al mismo tiempo que fortalecen su reputación.",Oportunidad,Potencial,1-5 años,
Prácticas de marketing responsable,,,,,
Aguas abajo,"La política de Marketing Ético de ROVI, la adhesión al código de EFPIA y al código de Buenas Prácticas de la Industria Farmacéutica en España garantizan prácticas de marketing ético y responsable.",Impacto positivo,Real,< 1 año,• Política de Marketing Ético • Política de Sostenibilidad en materia Medioambiental y Social
