Corporate name,Registered office,Ownership interest,,Activity,Auditor
,,2020,2019,,
"Pan Química Farmacéutica, S.A.","Madrid, C/Rufino González, 50",100%,100%,(1),A
"Gineladius, S.L.","Madrid, C/Rufino González, 50",100%,100%,(2),N/A
"Rovi Pharma Industrial Services, S.A.U.","Alcalá de Henares, Avenida Complutense, 140 (Madrid)",100%,100%,(1),A
Bertex Pharma GmbH,Inselstr.17. 14129 Berlin (Germany),100%,100%,(3),N/A
"Rovi Escúzar, S.L","Madrid, C/Julián Camarillo, 35",100%,100%,(1),N/A
Rovi Biotech Limited,"10-18 Union Street, London (United Kingdom)",100%,100%,(1),B
"Rovi Biotech, S.r.l","Via Monte Rosa 91, Milan (Italy)",100%,100%,(1),N/A
"Rovi, GmbH","Ruhlandstr. 5, Bad Tölz (Germany)",100%,100%,(1),C
"Rovi, S.A.S.","24 Rue du Drac, Seyssins (France)",100%,100%,(1),D
Rovi Biotech sp.z.o.o.,"ul. Wincentego Rzymowskiego, 53, Warsaw (Poland)",100%,100%,(1),N/A
