,,CURRENT,PREVIOUS,CURRENT,PREVIOUS
,,PERIOD,PERIOD,PERIOD,PERIOD
,,(2nd HALF),(2nd HALF),31/12/2020,31/12/2019
A) PROFIT/(LOSS) FOR PERIOD (from Income Statement),1305,31.464,23.112,61.057,39.273
B) OTHER COMPREHENSIVE INCOME - ITEMS NOT RECLASSIFIED TO PROFIT AND LOSS FOR THE PERIOD,1310,,,,
"1. Remeasurement (reversal of remeasurement) of property, plant and equipment and intangible assets",1311,,,,
2. Actuarial gains and losses,1344,,,,
3. Share in other recognized comprehensive income from investments in joint ventures and associates,1342,,,,
4. Equity instruments held at fair value through other,1346,,,,
5. Other income and expenses not reclassified to profit and loss for the period,1343,,,,
6. Tax effect,1345,,,,
C) OTHER COMPREHENSIVE INCOME - ITEMS THAT MAY SUBSEQUENTLY BE RECLASSFIED TO PROFIT AND LOSS FOR,1350,,,,
1. Hedging transactions:,1360,,,,
a) Gains/(losses) on remeasurement,1361,,,,
b) Amounts transferred to profit and loss,1362,,,,
c) Amounts transferred at initial value of hedged items,1363,,,,
d) Other reclassifications,1364,,,,
2. Conversion differences:,1365,,,,
a) Gains/(losses) on remeasurement,1366,,,,
b) Amounts transferred to profit and loss,1367,,,,
c) Other reclassifications,1368,,,,
3. Share in other recognized comprehensive income from investments in joint ventures and associates,1370,,,,
a) Gains/(losses) from measurement,1371,,,,
b) Amounts transferred to profit and loss,1372,,,,
c) Other reclassifications,1373,,,,
4. Debt instruments held at fair value through other comprehensive income:,1381,,,,
a) Gains/(losses) on remeasurement,1382,,,,
b) Amounts transferred to profit and loss,1383,,,,
c) Other reclassifications,1384,,,,
5. Other comprehensive income and expenses that may subsequently be reclassified to profit and loss for the period:,1375,,,,
a) Gains/(losses) on remeasurement,1376,,,,
b) Amounts transferred to profit and loss,1377,,,,
c) Other reclassifications,1978,,,,
6. Tax effect,1380,,,,
TOTAL COMPREHENSIVE INCOME FOR THE PERIOD (A+B+C),1400,31.464,23.112,61.057,39.273
a) Attributed to parent company,1398,31.464,23.112,61.057,39.273
b) Attributed to non-controlling interests,1399,,,,
