,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-29017755.581522,-8215604.910639,3354914.409033,-54469700.076706,
Tax Rate For Calcs,0.250628,0.240786,0.256492,0.21422,
Normalized EBITDA,6948900000.0,6024250000.0,5076910000.0,4206790000.0,
Total Unusual Items,-115780000.0,-34120000.0,13080000.0,-254270000.0,
Total Unusual Items Excluding Goodwill,-115780000.0,-34120000.0,13080000.0,-254270000.0,
Net Income From Continuing Operation Net Minority Interest,4179000000.0,3805750000.0,3137000000.0,2663080000.0,
Reconciled Depreciation,986320000.0,833860000.0,742700000.0,518530000.0,
Reconciled Cost Of Revenue,13725770000.0,12294560000.0,10969540000.0,9580770000.0,
EBITDA,6833120000.0,5990130000.0,5089990000.0,3952520000.0,
EBIT,5846800000.0,5156270000.0,4347290000.0,3433990000.0,
Net Interest Income,35530000.0,185370000.0,225840000.0,29090000.0,
Interest Expense,241250000.0,116600000.0,112030000.0,57460000.0,
Interest Income,276780000.0,301970000.0,337870000.0,120370000.0,
Normalized Income,4265762244.418478,3831654395.089361,3127274914.409033,2862880299.923294,
Net Income From Continuing And Discontinued Operation,4179000000.0,3805750000.0,3137000000.0,2663080000.0,
Total Expenses,24263300000.0,21587250000.0,17867000000.0,15367180000.0,
Rent Expense Supplemental,140740000.0,117260000.0,122430000.0,129150000.0,
Diluted Average Shares,453360000.0,453160000.0,453160000.0,415400000.0,
Basic Average Shares,453160000.0,453160000.0,453160000.0,415400000.0,
Diluted EPS,9.22,8.4,6.92,6.41,
Basic EPS,9.22,8.4,6.92,6.41,
Diluted NI Availto Com Stockholders,4179000000.0,3805750000.0,3137000000.0,2663080000.0,
Net Income Common Stockholders,4179000000.0,3805750000.0,3137000000.0,2663080000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4179000000.0,3805750000.0,3137000000.0,2663080000.0,
Minority Interests,-21640000.0,-20440000.0,-11950000.0,9870000.0,
Net Income Including Noncontrolling Interests,4200640000.0,3826190000.0,3148950000.0,2653210000.0,
Net Income Continuous Operations,4200640000.0,3826190000.0,3148950000.0,2653210000.0,
Tax Provision,1404910000.0,1213480000.0,1086310000.0,723320000.0,
Pretax Income,5605550000.0,5039670000.0,4235260000.0,3376530000.0,
Other Non Operating Income Expenses,31720000.0,138110000.0,38990000.0,74930000.0,
Special Income Charges,-128050000.0,-41470000.0,-30550000.0,-146250000.0,
Other Special Charges,810000.0,-22420000.0,-1330000.0,2640000.0,
Write Off,127240000.0,63890000.0,31880000.0,143610000.0,
Net Non Operating Interest Income Expense,35530000.0,185370000.0,225840000.0,29090000.0,
Total Other Finance Cost,,,,33820000.0,30560000.0
Interest Expense Non Operating,241250000.0,116600000.0,112030000.0,57460000.0,
Interest Income Non Operating,276780000.0,301970000.0,337870000.0,120370000.0,
Operating Income,5153130000.0,4557200000.0,3874950000.0,3129010000.0,
Operating Expense,10537530000.0,9292690000.0,6897460000.0,5786410000.0,
Other Operating Expenses,2421550000.0,2110560000.0,1674010000.0,1271800000.0,
Depreciation And Amortization In Income Statement,986320000.0,833860000.0,742700000.0,518530000.0,
Amortization,84650000.0,112200000.0,122960000.0,104840000.0,
Depreciation Income Statement,901670000.0,721660000.0,619740000.0,413690000.0,
Selling General And Administration,2872530000.0,2812020000.0,1454030000.0,1498420000.0,
Selling And Marketing Expense,2602640000.0,2566360000.0,1273140000.0,1331870000.0,
General And Administrative Expense,269890000.0,245660000.0,180890000.0,166550000.0,
Rent And Landing Fees,140740000.0,117260000.0,122430000.0,129150000.0,
Gross Profit,15690660000.0,13849890000.0,10772410000.0,8915420000.0,
Cost Of Revenue,13725770000.0,12294560000.0,10969540000.0,9580770000.0,
Total Revenue,29416430000.0,26144450000.0,21741950000.0,18496190000.0,
Operating Revenue,29416430000.0,26144450000.0,21741950000.0,18496190000.0,
