,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,260366400.0,961663820.0,57440160.0,-432074160.0
Tax Rate For Calcs,0.2592,0.2243,0.2712,0.2979
Normalized EBITDA,62550300000.0,74315400000.0,68028700000.0,51147200000.0
Total Unusual Items,1004500000.0,4287400000.0,211800000.0,373800000.0
Total Unusual Items Excluding Goodwill,1004500000.0,4287400000.0,211800000.0,-1450400000.0
Net Income From Continuing Operation Net Minority Interest,38792300000.0,52725200000.0,41215500000.0,28019100000.0
Reconciled Depreciation,10836200000.0,9954500000.0,10510200000.0,10191900000.0
Reconciled Cost Of Revenue,104520900000.0,97627400000.0,95923800000.0,89606300000.0
EBITDA,63554800000.0,78602800000.0,68240500000.0,51521000000.0
EBIT,52718600000.0,68648300000.0,57730300000.0,41329100000.0
Net Interest Income,1525500000.0,2023900000.0,1297100000.0,527000000.0
Interest Expense,482300000.0,440200000.0,711300000.0,945600000.0
Interest Income,2069400000.0,2644000000.0,2195900000.0,1622400000.0
Normalized Income,38048166400.0,49399463820.0,41061140160.0,30861625840.0
Net Income From Continuing And Discontinued Operation,38792300000.0,52725200000.0,41215500000.0,28019100000.0
Total Expenses,228661700000.0,210011800000.0,200779700000.0,184553100000.0
Rent Expense Supplemental,1292100000.0,1118400000.0,926500000.0,868600000.0
Diluted Average Shares,808247427.0,808194958.0,807998981.0,807627733.0
Basic Average Shares,807741636.0,807552253.0,807291686.0,807007965.0
Diluted EPS,48.0,65.24,51.01,34.69
Basic EPS,48.03,65.29,51.05,34.72
Diluted NI Availto Com Stockholders,38792300000.0,52725200000.0,41215500000.0,28019100000.0
Net Income Common Stockholders,38792300000.0,,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,38792300000.0,52725200000.0,41215500000.0,28019100000.0
Minority Interests,174900000.0,33200000.0,-321700000.0,-309800000.0
Net Income Including Noncontrolling Interests,38617400000.0,52692000000.0,41537200000.0,28328900000.0
Net Income Continuous Operations,38617400000.0,52692000000.0,41537200000.0,28328900000.0
Tax Provision,13538400000.0,15297600000.0,15465900000.0,12028600000.0
Pretax Income,52236300000.0,68208100000.0,57019000000.0,40383500000.0
Other Non Operating Income Expenses,726200000.0,545900000.0,814200000.0,477500000.0
Special Income Charges,-3725000000.0,199200000.0,-2700000000.0,-2881100000.0
Other Special Charges,2031200000.0,-1314200000.0,-342300000.0,-214600000.0
Write Off,420200000.0,0.0,,
Impairment Of Capital Assets,1273600000.0,1115000000.0,3042300000.0,1271500000.0
Net Non Operating Interest Income Expense,1525500000.0,2023900000.0,1297100000.0,527000000.0
Total Other Finance Cost,61600000.0,179900000.0,187500000.0,149800000.0
Interest Expense Non Operating,482300000.0,440200000.0,711300000.0,945600000.0
Interest Income Non Operating,2069400000.0,2644000000.0,2195900000.0,1622400000.0
Operating Income,48455200000.0,61442200000.0,53686600000.0,40178700000.0
Operating Expense,124140800000.0,112384400000.0,104855900000.0,94946800000.0
Other Operating Expenses,26792400000.0,23701900000.0,22406400000.0,18190200000.0
Depreciation And Amortization In Income Statement,10836200000.0,9954500000.0,9416100000.0,10191900000.0
Amortization,3203500000.0,2664500000.0,2378700000.0,3141700000.0
Depreciation Income Statement,7632700000.0,7290000000.0,7037400000.0,7050200000.0
Research And Development,5211200000.0,3761600000.0,4304600000.0,3853900000.0
Selling General And Administration,30862300000.0,29550200000.0,27839600000.0,26224400000.0
Selling And Marketing Expense,19342400000.0,18348600000.0,17249700000.0,16943000000.0
General And Administrative Expense,11519900000.0,11201600000.0,10589900000.0,9281400000.0
Rent And Landing Fees,1292100000.0,1118400000.0,926500000.0,868600000.0
Gross Profit,172596000000.0,173826600000.0,158542500000.0,135125500000.0
Cost Of Revenue,104520900000.0,97627400000.0,95923800000.0,89606300000.0
Total Revenue,277116900000.0,271454000000.0,254466300000.0,224731800000.0
Operating Revenue,277116900000.0,271454000000.0,254466300000.0,224731800000.0
