,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-197871030.776746,526519885.784214,-506100000.0,-193500000.0,
Tax Rate For Calcs,0.352711,0.147155,0.3,0.3,
Normalized EBITDA,13120000000.0,12123000000.0,9775000000.0,8149000000.0,
Total Unusual Items,-561000000.0,3578000000.0,-1687000000.0,-645000000.0,
Total Unusual Items Excluding Goodwill,-561000000.0,3578000000.0,-1687000000.0,-645000000.0,
Net Income From Continuing Operation Net Minority Interest,3985000000.0,8394000000.0,771000000.0,-610000000.0,
Reconciled Depreciation,4404000000.0,3686000000.0,3819000000.0,5540000000.0,
Reconciled Cost Of Revenue,29911000000.0,26116000000.0,24221000000.0,22228000000.0,
EBITDA,12559000000.0,15701000000.0,8088000000.0,7504000000.0,
EBIT,8155000000.0,12015000000.0,4269000000.0,1964000000.0,
Net Interest Income,-1866000000.0,-2037000000.0,-2462000000.0,-1784000000.0,
Interest Expense,2014000000.0,2209000000.0,2564000000.0,1686000000.0,
Interest Income,252000000.0,366000000.0,261000000.0,98000000.0,
Normalized Income,4348128969.223254,5342519885.784214,1951900000.0,-158500000.0,
Net Income From Continuing And Discontinued Operation,3985000000.0,8394000000.0,771000000.0,-610000000.0,
Total Expenses,74057000000.0,63853000000.0,61217000000.0,59894000000.0,
Rent Expense Supplemental,49000000.0,65000000.0,49000000.0,78000000.0,
Diluted Average Shares,158893924.0,158869448.0,158856621.0,159147533.0,
Basic Average Shares,158478893.0,158426859.0,158505987.0,159147533.0,
Diluted EPS,25.08,52.85,4.86,-3.83,
Basic EPS,25.15,52.99,4.87,-3.83,
Diluted NI Availto Com Stockholders,3985000000.0,8394000000.0,771000000.0,-610000000.0,
Net Income Common Stockholders,3985000000.0,8394000000.0,771000000.0,-610000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3985000000.0,8394000000.0,771000000.0,-610000000.0,
Minority Interests,10000000.0,31000000.0,44000000.0,39000000.0,
Net Income Including Noncontrolling Interests,3975000000.0,8363000000.0,727000000.0,-649000000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,3975000000.0,8363000000.0,727000000.0,-649000000.0,
Tax Provision,2166000000.0,1443000000.0,978000000.0,927000000.0,
Pretax Income,6141000000.0,9806000000.0,1705000000.0,278000000.0,
Other Non Operating Income Expenses,158000000.0,196000000.0,154000000.0,113000000.0,
Special Income Charges,-592000000.0,3595000000.0,-1689000000.0,-595000000.0,
Other Special Charges,-7000000.0,-4752000000.0,1689000000.0,595000000.0,
Write Off,64000000.0,241000000.0,,,
Restructuring And Mergern Acquisition,535000000.0,916000000.0,,,
Net Non Operating Interest Income Expense,-1866000000.0,-2037000000.0,-2462000000.0,-1784000000.0,
Total Other Finance Cost,104000000.0,194000000.0,159000000.0,196000000.0,
Interest Expense Non Operating,2014000000.0,2209000000.0,2564000000.0,1686000000.0,
Interest Income Non Operating,252000000.0,366000000.0,261000000.0,98000000.0,
Operating Income,8194000000.0,8068000000.0,5231000000.0,2299000000.0,
Operating Expense,44146000000.0,37737000000.0,36996000000.0,37666000000.0,
Other Operating Expenses,8092000000.0,7107000000.0,6873000000.0,6800000000.0,
Depreciation And Amortization In Income Statement,4404000000.0,3686000000.0,3819000000.0,5540000000.0,
Amortization,746000000.0,627000000.0,521000000.0,2379000000.0,
Depreciation Income Statement,3658000000.0,3059000000.0,3298000000.0,3161000000.0,
Selling General And Administration,4642000000.0,4190000000.0,4406000000.0,3847000000.0,
Selling And Marketing Expense,2057000000.0,2058000000.0,2143000000.0,1616000000.0,
General And Administrative Expense,2585000000.0,2132000000.0,2263000000.0,2231000000.0,
Rent And Landing Fees,49000000.0,65000000.0,49000000.0,78000000.0,
Gross Profit,52340000000.0,45805000000.0,42227000000.0,39965000000.0,
Cost Of Revenue,29911000000.0,26116000000.0,24221000000.0,22228000000.0,
Total Revenue,82251000000.0,71921000000.0,66448000000.0,62193000000.0,
Operating Revenue,82251000000.0,71921000000.0,66448000000.0,62193000000.0,
