,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,9453410.988117,153393552.136794,-469677000.0,-24974333.508036,
Tax Rate For Calcs,0.140822,0.159196,0.3,0.193225,
Normalized EBITDA,10144220000.0,7902570000.0,5009580000.0,1875680000.0,
Total Unusual Items,67130000.0,963550000.0,-1565590000.0,-129250000.0,
Total Unusual Items Excluding Goodwill,67130000.0,963550000.0,-1565590000.0,-129250000.0,
Net Income From Continuing Operation Net Minority Interest,5561930000.0,4053480000.0,-1202040000.0,-2212040000.0,
Reconciled Depreciation,2024010000.0,1922600000.0,2206830000.0,2432520000.0,
Reconciled Cost Of Revenue,21673590000.0,21339110000.0,18835520000.0,17458500000.0,
EBITDA,10211350000.0,8866120000.0,3443990000.0,1746430000.0,
EBIT,8187340000.0,6943520000.0,1237160000.0,-686090000.0,
Net Interest Income,-1513450000.0,-2034820000.0,-2505820000.0,-1866350000.0,
Interest Expense,1500480000.0,2074310000.0,2385080000.0,2175910000.0,
Interest Income,272000000.0,453690000.0,296420000.0,745070000.0,
Normalized Income,5504253410.988117,3243323552.136794,-106127000.0,-2107764333.508036,
Net Income From Continuing And Discontinued Operation,5561930000.0,35934550000.0,-706120000.0,-2026350000.0,
Total Expenses,40109510000.0,38120790000.0,34089400000.0,34647880000.0,
Rent Expense Supplemental,197020000.0,156160000.0,157610000.0,144020000.0,
Diluted Average Shares,92173847.0,92021353.0,91126559.0,90085611.0,
Basic Average Shares,92169454.0,92011241.0,91001818.0,90080778.0,
Diluted EPS,60.34,390.5,-7.76,-22.49,
Basic EPS,60.34,390.55,-7.76,-22.49,
Diluted NI Availto Com Stockholders,5561930000.0,35934550000.0,-706120000.0,-2026350000.0,
Net Income Common Stockholders,5561930000.0,35934550000.0,-706120000.0,-2026350000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5561930000.0,35934550000.0,-706120000.0,-2026350000.0,
Minority Interests,-183270000.0,-40570000.0,237000000.0,96950000.0,
Net Income Including Noncontrolling Interests,5745200000.0,35975120000.0,-943120000.0,-2123300000.0,
Net Income Discontinuous Operations,0.0,31881070000.0,495920000.0,185690000.0,
Net Income Continuous Operations,5745200000.0,4094050000.0,-1439040000.0,-2308990000.0,
Tax Provision,941660000.0,775160000.0,291120000.0,-553010000.0,
Pretax Income,6686860000.0,4869210000.0,-1147920000.0,-2862000000.0,
Other Non Operating Income Expenses,59820000.0,66320000.0,77640000.0,108530000.0,
Special Income Charges,67130000.0,963550000.0,-1565590000.0,-129250000.0,
Other Special Charges,-106770000.0,-914060000.0,-40270000.0,268410000.0,
Write Off,34700000.0,50000.0,1575060000.0,330400000.0,
Impairment Of Capital Assets,,,1575060000.0,330400000.0,46760000.0
Restructuring And Mergern Acquisition,4940000.0,-49540000.0,30800000.0,-469560000.0,
Net Non Operating Interest Income Expense,-1513450000.0,-2034820000.0,-2505820000.0,-1866350000.0,
Total Other Finance Cost,284970000.0,414200000.0,417160000.0,435510000.0,
Interest Expense Non Operating,1500480000.0,2074310000.0,2385080000.0,2175910000.0,
Interest Income Non Operating,272000000.0,453690000.0,296420000.0,745070000.0,
Operating Income,6170150000.0,5796030000.0,3210830000.0,1428810000.0,
Operating Expense,18435920000.0,16781680000.0,15253880000.0,17189380000.0,
Other Operating Expenses,3790820000.0,3314630000.0,3643930000.0,3986450000.0,
Depreciation And Amortization In Income Statement,2024010000.0,1922600000.0,2206830000.0,2432520000.0,
Amortization,776580000.0,761370000.0,715500000.0,713200000.0,
Depreciation Income Statement,1247430000.0,1161230000.0,1491330000.0,1719320000.0,
Selling General And Administration,4966560000.0,4238140000.0,3170590000.0,4113340000.0,
Selling And Marketing Expense,3571110000.0,2981960000.0,2150340000.0,2636510000.0,
General And Administrative Expense,1395450000.0,1256180000.0,1020250000.0,1476830000.0,
Rent And Landing Fees,197020000.0,156160000.0,157610000.0,144020000.0,
Gross Profit,24606070000.0,22577710000.0,18464710000.0,18618190000.0,
Cost Of Revenue,21673590000.0,21339110000.0,18835520000.0,17458500000.0,
Total Revenue,46279660000.0,43916820000.0,37300230000.0,36076690000.0,
Operating Revenue,46279660000.0,43916820000.0,37300230000.0,36076690000.0,
