company,period_label,period_type,period_end,statement,line_item,value,value_period,currency,units,scope,source,source_url,report_date,page,original_file,sha256,direct_derived,notes
Formycon AG,FY2022,FY,2022-12-31,Income Statement,Revenue,42500.0,FY,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-04-25,10,Formycon_FY2023_EarningsCall.pdf,8d3c3fca78cdd0fd03e79f9ef0352f1677c273d73d41e9e86c64ce2d228dcd0c,direct,Prior-year column in FY2023 presentation [units normalized to thousand EUR]
Formycon AG,H1_2023,H1,2023-06-30,Income Statement,Net Income / Comprehensive Income,1804.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2023-08-09,33,Formycon_H1_2023_Report.pdf,f1adb99d6c02bf80b8a1d7a765fee7af592200e1a9b30b6e16c34c33192c40a4,direct,Consolidated Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2023,H1,2023-06-30,Income Statement,Operating Profit/Loss (EBIT),6358.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2023-08-09,33,Formycon_H1_2023_Report.pdf,f1adb99d6c02bf80b8a1d7a765fee7af592200e1a9b30b6e16c34c33192c40a4,direct,Consolidated Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,H1_2023,H1,2023-06-30,Income Statement,Revenue,43789.0,H1,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2023-08-09,33,Formycon_H1_2023_Report.pdf,f1adb99d6c02bf80b8a1d7a765fee7af592200e1a9b30b6e16c34c33192c40a4,direct,Consolidated Interim Statement of Comprehensive Income [units normalized to thousand EUR]
Formycon AG,FY2023,FY,2023-12-31,Income Statement,EBITDA,1500.0,FY,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-04-25,10,Formycon_FY2023_EarningsCall.pdf,8d3c3fca78cdd0fd03e79f9ef0352f1677c273d73d41e9e86c64ce2d228dcd0c,direct,Current-year column in FY2023 presentation [units normalized to thousand EUR]
Formycon AG,FY2023,FY,2023-12-31,Income Statement,Net Income / Comprehensive Income,75800.0,FY,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-04-25,10,Formycon_FY2023_EarningsCall.pdf,8d3c3fca78cdd0fd03e79f9ef0352f1677c273d73d41e9e86c64ce2d228dcd0c,direct,Current-year column in FY2023 presentation (split line) [units normalized to thousand EUR]
Formycon AG,FY2023,FY,2023-12-31,Income Statement,Revenue,77700.0,FY,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-04-25,10,Formycon_FY2023_EarningsCall.pdf,8d3c3fca78cdd0fd03e79f9ef0352f1677c273d73d41e9e86c64ce2d228dcd0c,direct,Current-year column in FY2023 presentation [units normalized to thousand EUR]
Formycon AG,Q1_2024,Q1,2024-03-31,Income Statement,Adjusted EBITDA,-1200.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-05-08,8,Formycon_Q1_2024_EarningsCall.pdf,23cb7b9ee0cb9dcf45d44ce40451c55c1bcfe8ffb2354ea6296404fbaf77d95a,direct,Q1/2024 vs Q1/2023 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q1_2024,Q1,2024-03-31,Income Statement,EBITDA,-5500.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-05-08,8,Formycon_Q1_2024_EarningsCall.pdf,23cb7b9ee0cb9dcf45d44ce40451c55c1bcfe8ffb2354ea6296404fbaf77d95a,direct,Q1/2024 vs Q1/2023 Profit & Loss slide [units normalized to thousand EUR]
Formycon AG,Q1_2024,Q1,2024-03-31,Income Statement,Revenue,17700.0,Q1,EUR,thousand,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-05-08,8,Formycon_Q1_2024_EarningsCall.pdf,23cb7b9ee0cb9dcf45d44ce40451c55c1bcfe8ffb2354ea6296404fbaf77d95a,direct,Q1/2024 vs Q1/2023 Profit & Loss slide [units normalized to thousand EUR]
