,2026-03-31,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-890683384.18782,-335782124.034869,-336995149.17825,-55936691.370431
Tax Rate For Calcs,0.220745,0.176523,0.200927,0.375162
Normalized EBITDA,90640400000.0,56450100000.0,40658400000.0,18523000000.0
Total Unusual Items,-4034900000.0,-1902200000.0,-1677200000.0,-149100000.0
Total Unusual Items Excluding Goodwill,-4034900000.0,-1902200000.0,-1677200000.0,-149100000.0
Net Income From Continuing Operation Net Minority Interest,53328400000.0,32816200000.0,19144800000.0,4300800000.0
Reconciled Depreciation,13755000000.0,11692600000.0,9955600000.0,8806900000.0
Reconciled Cost Of Revenue,81107500000.0,74559600000.0,71467800000.0,72648900000.0
EBITDA,86605500000.0,54547900000.0,38981200000.0,18373900000.0
EBIT,72850500000.0,42855300000.0,27013100000.0,9567000000.0
Net Interest Income,-2176200000.0,-1650200000.0,-2653800000.0,-2418700000.0
Interest Expense,4125000000.0,2705300000.0,2790400000.0,2402100000.0
Interest Income,2168700000.0,1298500000.0,462300000.0,324300000.0
Normalized Income,56472616615.81218,34382617875.96513,20485004850.82175,4393963308.629569
Net Income From Continuing And Discontinued Operation,53328400000.0,32816200000.0,19144800000.0,4300800000.0
Total Expenses,206691000000.0,178468900000.0,168597000000.0,153805400000.0
Rent Expense Supplemental,1077500000.0,856200000.0,696900000.0,702700000.0
Diluted Average Shares,457987123.0,457774407.0,,
Basic Average Shares,456779129.0,456113294.0,455240464.0,454692962.0
Diluted EPS,116.44,71.69,41.87,9.41
Basic EPS,116.75,71.95,42.05,9.46
Diluted NI Availto Com Stockholders,53328400000.0,32816200000.0,19144800000.0,4300800000.0
Net Income Common Stockholders,53328400000.0,32816200000.0,19144800000.0,4300800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,53328400000.0,32816200000.0,19144800000.0,4300800000.0
Minority Interests,-226300000.0,-246400000.0,-210900000.0,-176100000.0
Net Income Including Noncontrolling Interests,53554700000.0,33062600000.0,19355700000.0,4476900000.0
Net Income Continuous Operations,53554700000.0,33062600000.0,19355700000.0,4476900000.0
Tax Provision,15170800000.0,7087400000.0,4867000000.0,2688000000.0
Pretax Income,68725500000.0,40150000000.0,24222700000.0,7164900000.0
Other Non Operating Income Expenses,187500000.0,192300000.0,482200000.0,62800000.0
Special Income Charges,-5597900000.0,-2366800000.0,-1922100000.0,-283900000.0
Other Special Charges,5385500000.0,2325000000.0,1920200000.0,249600000.0
Write Off,212400000.0,41800000.0,1900000.0,34300000.0
Impairment Of Capital Assets,,1209000000.0,2012500000.0,
Restructuring And Mergern Acquisition,23503700000.0,,,
Net Non Operating Interest Income Expense,-2176200000.0,-1650200000.0,-2653800000.0,-2418700000.0
Total Other Finance Cost,219900000.0,243400000.0,325700000.0,340900000.0
Interest Expense Non Operating,4125000000.0,2705300000.0,2790400000.0,2402100000.0
Interest Income Non Operating,2168700000.0,1298500000.0,462300000.0,324300000.0
Operating Income,68184400000.0,43452200000.0,27966400000.0,8894400000.0
Operating Expense,125583500000.0,103909300000.0,97129200000.0,81156500000.0
Other Operating Expenses,30583700000.0,26544500000.0,24924100000.0,20450000000.0
Depreciation And Amortization In Income Statement,13755000000.0,11692600000.0,11968100000.0,8806900000.0
Depreciation Income Statement,13755000000.0,11692600000.0,11968100000.0,8806900000.0
Selling General And Administration,35934600000.0,28007100000.0,26033700000.0,21239100000.0
Selling And Marketing Expense,16845400000.0,12691800000.0,12160200000.0,10751300000.0
General And Administrative Expense,19089200000.0,15315300000.0,13873500000.0,10487800000.0
Rent And Landing Fees,1077500000.0,856200000.0,696900000.0,702700000.0
Gross Profit,193767900000.0,147361500000.0,125095600000.0,90050900000.0
Cost Of Revenue,81107500000.0,74559600000.0,71467800000.0,72648900000.0
Total Revenue,274875400000.0,221921100000.0,196563400000.0,162699800000.0
Operating Revenue,274875400000.0,221921100000.0,196563400000.0,162699800000.0
