,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1227859509.749135,-496192642.739808,215668344.111959,-1130340966.135074,
Tax Rate For Calcs,0.240851,0.234274,0.203269,0.226976,
Normalized EBITDA,89039000000.0,71128000000.0,55109000000.0,33418000000.0,
Total Unusual Items,-5098000000.0,-768000000.0,1061000000.0,961000000.0,
Total Unusual Items Excluding Goodwill,-5098000000.0,-2118000000.0,1061000000.0,-4980000000.0,
Net Income From Continuing Operation Net Minority Interest,50400000000.0,45255000000.0,38365000000.0,19649000000.0,
Reconciled Depreciation,14080000000.0,9158000000.0,7641000000.0,7227000000.0,
Reconciled Cost Of Revenue,76592000000.0,66664000000.0,65004000000.0,65589000000.0,
EBITDA,83941000000.0,70360000000.0,56170000000.0,34379000000.0,
EBIT,69861000000.0,61202000000.0,48529000000.0,27152000000.0,
Net Interest Income,466000000.0,859000000.0,776000000.0,-541000000.0,
Interest Expense,3650000000.0,935000000.0,440000000.0,1255000000.0,
Interest Income,4225000000.0,1852000000.0,1268000000.0,757000000.0,
Normalized Income,54270140490.25086,48226807357.26019,37519668344.11196,29439659033.864925,
Net Income From Continuing And Discontinued Operation,50400000000.0,45255000000.0,38595000000.0,19603000000.0,
Total Expenses,209331000000.0,165945000000.0,144823000000.0,140250000000.0,
Rent Expense Supplemental,514000000.0,306000000.0,261000000.0,229000000.0,
Diluted Average Shares,1006233990.0,1006233990.0,1011926837.0,1015649871.0,
Basic Average Shares,1006233990.0,1006233990.0,1011926837.0,1015649871.0,
Diluted EPS,50.09,44.97,38.14,19.3,
Basic EPS,50.09,44.97,38.14,19.3,
Diluted NI Availto Com Stockholders,50400000000.0,45255000000.0,38595000000.0,19603000000.0,
Net Income Common Stockholders,50400000000.0,45255000000.0,38595000000.0,19603000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,50400000000.0,45255000000.0,38595000000.0,19603000000.0,
Minority Interests,-835000000.0,-1471000000.0,-1133000000.0,-1316000000.0,
Net Income Including Noncontrolling Interests,51235000000.0,46726000000.0,39728000000.0,20919000000.0,
Net Income Discontinuous Operations,,0.0,230000000.0,-46000000.0,22457000000.0
Net Income Continuous Operations,51235000000.0,46726000000.0,39498000000.0,20965000000.0,
Tax Provision,15947000000.0,14119000000.0,9775000000.0,5878000000.0,
Pretax Income,66211000000.0,60267000000.0,48089000000.0,25897000000.0,
Other Non Operating Income Expenses,160000000.0,89000000.0,41000000.0,36000000.0,
Special Income Charges,-5773000000.0,-2517000000.0,-324000000.0,-5834000000.0,
Other Special Charges,4898000000.0,-345000000.0,8000000.0,-107000000.0,
Write Off,,150000000.0,3000000.0,21000000.0,26000000.0
Impairment Of Capital Assets,0.0,846000000.0,0.0,,0.0
Restructuring And Mergern Acquisition,875000000.0,666000000.0,316000000.0,0.0,
Net Non Operating Interest Income Expense,466000000.0,859000000.0,776000000.0,-541000000.0,
Total Other Finance Cost,109000000.0,58000000.0,52000000.0,43000000.0,
Interest Expense Non Operating,3650000000.0,935000000.0,440000000.0,1255000000.0,
Interest Income Non Operating,4225000000.0,1852000000.0,1268000000.0,757000000.0,
Operating Income,57866000000.0,59793000000.0,45392000000.0,28528000000.0,
Operating Expense,132739000000.0,99281000000.0,79819000000.0,74661000000.0,
Other Operating Expenses,32160000000.0,25641000000.0,22447000000.0,20348000000.0,
Depreciation And Amortization In Income Statement,14080000000.0,9158000000.0,7641000000.0,7227000000.0,
Amortization,5828000000.0,2261000000.0,1292000000.0,1071000000.0,
Depreciation Income Statement,8252000000.0,6897000000.0,6349000000.0,6156000000.0,
Research And Development,5879000000.0,5332000000.0,1558000000.0,1358000000.0,
Selling General And Administration,40176000000.0,28669000000.0,21756000000.0,21401000000.0,
Selling And Marketing Expense,33024000000.0,20534000000.0,16580000000.0,15572000000.0,
General And Administrative Expense,7152000000.0,8135000000.0,5176000000.0,5829000000.0,
Rent And Landing Fees,514000000.0,306000000.0,261000000.0,229000000.0,
Gross Profit,190605000000.0,159074000000.0,125211000000.0,103189000000.0,
Cost Of Revenue,76592000000.0,66664000000.0,65004000000.0,65589000000.0,
Total Revenue,267197000000.0,225738000000.0,190215000000.0,168778000000.0,
Operating Revenue,267197000000.0,225738000000.0,190215000000.0,168778000000.0,
